Resource Type,Resource Name/Title,Resource Link/Attachment,Principal Resource Contributor(s),Year of Initial Publication/Creation/Release/Project Start,"Keywords, Themes, Ideas",Formats/Document Types/Media Types,Related Resource(s),Related Resource(s) Type/s
DH Project,Mapping Decline: St. Louis and the American City,http://mappingdecline.lib.uiowa.edu,"Colin Gordon, The University of Iowa Libraries",2008,White flight; race and property; municipal zoning; urban renewal,"Maps; archival sources/documents (city ordinances; zoning maps; urban renewal plans, legal documents); links (to web-based historical GIS projects, data and map sources, St. Louis documents and maps)","Mapping Decline: St. Louis and the Fate of the American City (PennPress, 2008); linked/embedded resources",Book; various
Scholarly Article/Report,For the Sake of All: A report on the health and well-being of African-Americans in St. Louis and why it matters for everyone,https://bpb-us-w2.wpmucdn.com/sites.wustl.edu/dist/3/1454/files/2018/06/FSOA_report_2-17zd1xm.pdf,Washington University in St. Louis; Saint Louis University,2015,Health; social determinants of health; education; poverty; income; policy agenda; disparities; socioeconomic status; race; neighborhood/community composition,Report; embedded images; data visualizations; maps; statistics,"Previous reports and resources mentioned throughout, in acknowledgements, and in resources/references sections",Reports; organizations; surveys; statistics; maps; councils/coalitions; various
Scholarly Article/Report,Segregation in St. Louis: Dismantling the Divide,https://cpb-us-w2.wpmucdn.com/sites.wustl.edu/dist/3/1454/files/2018/06/Segregation-in-St.-Louis-Dismantling-the-Divide-22ih4vw.pdf,Paul Fehler; Brian Schmidt; Jason Purnell; Nancy Cambria; Laura Brossart; others,2018,Segregation; suburbs; displacement; opportunity; exclusion; diversity; housing; affordability; invisible boundaries; divide; annexation; dissimilarity index; eminent domain; exclusionary zoning; Fair Housing Act; Federal Housing Administration (FHA); Federal Poverty Level; gentrification; Great Migration; greenlining; home equity; hypersegregation; implicit bias; Office of Fair Housing and Equal Opportunity (FHEO); predatory lending; racial steering; redlining; restrictive racial covenants; social mobility; spot zoning; tax increment financing (TIF); urban renewal project; U.S. Department of Housing and Urban Development (HUD); white flight,Report; embedded tables; embedded images; maps; data visualizations; embedded historical newspaper clippings,Refer to reference list and list of partners,Various
DH Project/Student Project,"A City Divided: Understanding the Intersection of Violence, Race, Poverty, and Geography in St. Louis",https://storymaps.arcgis.com/stories/ba0cb7bfc74245a4b6f273bca089743c,"Nicholas Chen, Saint Louis University Department of Sociology",2021,Violence; race; poverty; geography; homicides,Images; analysis; statistics/data visualizations,Refer to list of sources/resources/partners,Various
News Article,Breaking Through and Breaking Down the Delmar Divide in St. Louis,https://nextcity.org/features/breaking-through-and-breaking-down-the-delmar-divide-in-st.-louis,Oscar Perry Abello,2019,Racial covenants; redlining; housing; greenlining; hypervacancy; homeownership; The Ville; mortgage denial; appraisal gap; Gateway Neighborhood Mortgage; Lyda Krewson; Justine Petersen; segregation; systemic neglect; banks,Analysis; images; links,"Some phrases and/or words are hyperlinked, organizations/initiatives mentioned",Various
Video,Crossing a St. Louis Street that Divides Communities,https://www.bbc.com/news/av/magazine-17361995,BBC; Franz Strasser,2012,Segregration; poverty; mansions; zoning; neighborhoods; resources; divide; race; healthcare; education; community; disparities,Video; interviews; audio,,
Video,How One Street Symbolizes America's Racial Divide,https://www.youtube.com/watch?v=1rLKJQuE0HQ,NowThis News,2017,Segregation; local and grassroots activism; opportunity; healthcare; education; divide/division; community leaders; equity; inequality; race; redlining,Video; interviews; data visualizations; maps; audio,,
Video,A Tale of One City: The Delmar Divide,https://www.youtube.com/watch?v=X6Ds47advRw,Yoelle Gulko; Jacob Greengo; Sam Pensiero; NowThis News; We Live Here; PricedOut: The Podcast; Washington University in St. Louis,2021,Segregation; redlining; greenlining; opportunity; property value; inequality; inequity; disparities; health; safety; zoning; education; income,Video; drone footage; data; maps; audio,,
Video/Documentary,The Delmar Divide,https://www.youtube.com/watch?v=ihvicjrJ8N0,Jacob Sowers,2021,Segregation; community action; race; socioeconomic status; opportunity; redlining; greenlining; education; healthcare; legislation; safety; discrimination; home value; property value; income; Mayor Tishaura Jones; policy; state government; local government; federal government; budgeting; restoration; housing market; discrimination; Mayor Reggie Jones; Professor Colin Gordon; Dr. Flint Fowler; Mr. Steve Oslica; Professor Gerald Ronning; Mrs. Maxine Clark; Mr. Macklin Parks; race; prejudice; bias; zoning; inequity; inequality; urban development; legislation; reform,Video; interviews; audio; statistics; maps; data visualizations; images,,
Census Data,City of St. Louis - Neighborhood Population & Demographics Census 2020 P.L. 94-171 Redistricting Data Release,https://www.stlouis-mo.gov/government/departments/planning/research/documents/2020-census-neighborhood-results.cfm,Jason D. Whiteley; City of St. Louis Planning & Urban Design Agency,2021,Neighborhood; population; race/racial demographics; age; housing; demographics; redistricting; Census,Data; informational/data tables,Census Data,
